Floor 0:
Patient [name=Abraham, surname=Lincoln, ssn=6669444861, birthYear=1809]
Patient [name=Adriana, surname=Karenbeu, ssn=0561128832, birthYear=1971]
Patient [name=Alan, surname=Chepard, ssn=6489579680, birthYear=1923]
Patient [name=Albert, surname=Einstein, ssn=7104083471, birthYear=1879]
Patient [name=Alexander, surname=Kerensky, ssn=9051869743, birthYear=1881]
Patient [name=Alfred, surname=Hitchcock, ssn=3635336290, birthYear=1899]
Patient [name=Agustin, surname=Lara, ssn=2876703738, birthYear=1900]
Patient [name=Alicia, surname=Keys, ssn=4488106841, birthYear=1981]
Patient [name=Adolfo, surname=Hitler, ssn=5465995264, birthYear=1889]
Patient [name=Aldo, surname=Moro, ssn=3745187275, birthYear=1916]
Patient [name=Alessandra, surname=Ambrosio, ssn=8993637613, birthYear=1981]
Patient [name=Al, surname=Capone, ssn=3946671130, birthYear=1899]
Patient [name=Albert, surname=Schweitzer, ssn=7030339829, birthYear=1875]
Patient [name=Albert, surname=Camus, ssn=1710002791, birthYear=1913]
Patient [name=Adam, surname=Smith, ssn=5186046392, birthYear=1723]
Patient [name=Agatha, surname=Chriestie, ssn=2895510826, birthYear=1890]
Patient [name=Al, surname=Pacino, ssn=7611603235, birthYear=1940]
Patient [name=Al, surname=Gore, ssn=4262893352, birthYear=1948]
Patient [name=Adolfo, surname=Perez-Esquivel, ssn=0837990171, birthYear=1931]
Patient [name=Alejandro, surname=Dumas, ssn=6503158367, birthYear=1802]
Floor 1:
Patient [name=Andre, surname=Breton, ssn=8365764592, birthYear=1896]
Patient [name=Angelica, surname=Maria, ssn=5038997426, birthYear=1943]
Patient [name=Angelina, surname=Jolie, ssn=8167807396, birthYear=1975]
Patient [name=Allen, surname=Ginsberg, ssn=5439262872, birthYear=1923]
Patient [name=Angela, surname=Merkel, ssn=3856312192, birthYear=1954]
Patient [name=Anna, surname=Kournikova, ssn=8418100035, birthYear=1981]
Patient [name=Antonio Carlos, surname=Jobim, ssn=2344845664, birthYear=1927]
Patient [name=Annan, surname=Kofi, ssn=9428986747, birthYear=1938]
Patient [name=Alonso, surname=Damaso, ssn=3885431592, birthYear=1898]
Patient [name=Anatoly, surname=Karpov, ssn=5057523820, birthYear=1951]
Patient [name=Allan, surname=Greenspan, ssn=3546896340, birthYear=1926]
Patient [name=Amado, surname=Nervo, ssn=4413957112, birthYear=1870]
Patient [name=Antonio, surname=Machado, ssn=0673932455, birthYear=1875]
Patient [name=Antonio, surname=Banderas, ssn=7169050132, birthYear=1960]
Patient [name=Anthony, surname=Hopkins, ssn=8059089594, birthYear=1937]
Patient [name=Andre-Marie, surname=Ampere, ssn=7276995671, birthYear=1775]
Patient [name=Andres, surname=Bello, ssn=3992731073, birthYear=1781]
Patient [name=Anthony, surname=Quinn, ssn=1435164914, birthYear=1915]
Patient [name=Antonio, surname=Chekhov, ssn=6313288345, birthYear=1860]
Patient [name=Antonio, surname=Lavoisier, ssn=1566876261, birthYear=1743]
Floor 2:
Patient [name=Arnold, surname=Schwarzenegger, ssn=7215395217, birthYear=1947]
Patient [name=Arthur, surname=Schopenhauer, ssn=2805848874, birthYear=1788]
Patient [name=Ariel, surname=Sharon, ssn=5460434336, birthYear=1928]
Patient [name=Arthur, surname=Rimbaud, ssn=9462931693, birthYear=1854]
Patient [name=Atahualpa, surname=Yupanqui, ssn=7263307860, birthYear=1908]
Patient [name=Ashley, surname=Judd, ssn=7922298376, birthYear=1968]
Patient [name=Ayrton, surname=Senna, ssn=3262532049, birthYear=1960]
Patient [name=Antonio, surname=Vivaldi, ssn=8414193157, birthYear=1678]
Patient [name=Avril, surname=Lavigne, ssn=7867894312, birthYear=1984]
Patient [name=Augusto, surname=Pinochet, ssn=5247602491, birthYear=1915]
